ID	Term	Abbreviation	Definition	SMILES	ref
Q1881	silychristin A		chemical compound, InChIKey BMLIIPOXVWESJG-LMBCONBSSA-N, CAS registry number33889-69-9	COC1=C(C=CC(=C1)[C@H]2[C@@H](C3=C(O2)C(=CC(=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)O)CO)O	https://compoundcloud.wikibase.cloud/entity/Q1881
Q1882	NH-3		chemical compound, InChIKey IXMROOKFPWGDGF-UHFFFAOYSA-N, CAS registry number447415-26-1	CC1=CC(=CC(=C1CC2=CC(=C(C(=C2)C#CC3=CC=C(C=C3)[N+](=O)[O-])O)C(C)C)C)OCC(=O)O	https://compoundcloud.wikibase.cloud/entity/Q1882
Q4722	chlorpyrifos		chemical compound, InChIKey SBPBAQFWLVIOKP-UHFFFAOYSA-N, CAS registry number2921-88-2	CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl	https://compoundcloud.wikibase.cloud/entity/Q4722
Q4726	diazinon		chemical compound, InChIKey FHIVAFMUCKRCQO-UHFFFAOYSA-N, CAS registry number333-41-5	CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C	https://compoundcloud.wikibase.cloud/entity/Q4726
Q4744	sulfobromophthalein		chemical compound, InChIKey OHTXTCNTQJFRIG-UHFFFAOYSA-N, CAS registry number297-83-6	Oc1ccc(cc1S(O)(=O)=O)C2(OC(=O)c3c(Br)c(Br)c(Br)c(Br)c23)c4ccc(O)c(c4)S(O)(=O)=O	https://compoundcloud.wikibase.cloud/entity/Q4744
Q4750	sulfobromophthalein sodium		chemical compound, InChIKey CDTNUNQQEUGDSD-UHFFFAOYSA-L, CAS registry number123359-42-2	[Na+].[Na+].[H]O[H].Oc1ccc(cc1S([O-])(=O)=O)C2(OC(=O)c3c(Br)c(Br)c(Br)c(Br)c23)c4ccc(O)c(c4)S([O-])(=O)=O	https://compoundcloud.wikibase.cloud/entity/Q4750
Q4751	cefuroxime		chemical compound, InChIKey JFPVXVDWJQMJEE-IZRZKJBUSA-N, CAS registry number55268-75-2	[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)\C(=N/OC)c3ccco3)C(O)=O	https://compoundcloud.wikibase.cloud/entity/Q4751
Q4752	monobutyl phthalate	MBP	chemical compound, InChIKey YZBOVSFWWNVKRJ-UHFFFAOYSA-N, CAS registry number131-70-4	CCCCOC(=O)c1ccccc1C(O)=O	https://compoundcloud.wikibase.cloud/entity/Q4752
Q4753	xanthohumol		chemical compound, InChIKey ORXQGKIUCDPEAJ-YRNVUSSQSA-N, CAS registry number6754-58-1	COc1cc(O)c(C\C=C(/C)C)c(O)c1C(=O)\C=C\c2ccc(O)cc2	https://compoundcloud.wikibase.cloud/entity/Q4753
Q4756	amiodarone hydrochloride		chemical compound, InChIKey ITPDYQOUSLNIHG-UHFFFAOYSA-N, CAS registry number19774-82-4	Cl[H].CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	https://compoundcloud.wikibase.cloud/entity/Q4756
Q4757	PBDE-99		chemical compound, InChIKey WHPVYXDFIXRKLN-UHFFFAOYSA-N, CAS registry number60348-60-9	C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br	https://compoundcloud.wikibase.cloud/entity/Q4757
